poi_id,slug,name,state,county,themes,theme_count,primary_theme,theme_family,lat,lng,geocode_confidence,geocode_source,geocode_query
20442395511736028,embassy-suites-by-hilton-miami-international-airport-miami-dade,Embassy Suites by Hilton Miami International Airport,FL,Miami-Dade,food-wine|family-friendly|business-travel,3,food-wine,indulgence,,,,,
20442395512866522,best-western-plus-oceanside-inn-broward,Best Western Plus Oceanside Inn,FL,Broward,,0,unclassified,none,,,,,
20442395513297464,maingate-lakeside-resort-osceola,Maingate Lakeside Resort,FL,Osceola,family-friendly|outdoor-adventure|city-escapes,3,family-friendly,family,,,,,
20442395514682507,hotel-tampa-riverwalk-hillsborough,Hotel Tampa Riverwalk,FL,Hillsborough,outdoor-adventure,1,outdoor-adventure,outdoors,,,,,
21568226261242121,arlo-wynwood-miami-dade,Arlo Wynwood,FL,Miami-Dade,,0,unclassified,none,,,,,
21568226261460817,baymont-by-wyndham-panama-city-beach-bay,Baymont by Wyndham Panama City Beach,FL,Bay,,0,unclassified,none,,,,,
21568226262651620,voco-sandpiper-all-inclusive-resort-saint-lucie,Voco Sandpiper All-Inclusive Resort,FL,Saint Lucie,all-inclusive|outdoor-adventure|food-wine|city-escapes|family-friendly|natural-wonder,6,all-inclusive,family,,,,,
21568226263149762,daytona-grande-oceanfront-resort-volusia,Daytona Grande Oceanfront Resort,FL,Volusia,family-friendly|outdoor-adventure|romantic-getaways|city-escapes,4,family-friendly,family,,,,,
21568226263841122,amrit-ocean-resort-palm-beach,Amrit Ocean Resort,FL,Palm Beach,romantic-getaways|natural-wonder|family-friendly|onsen-hot-spring|outdoor-adventure,5,romantic-getaways,indulgence,,,,,
21568226264421870,margaritaville-beach-hotel-jacksonville-beach-saint-johns,Margaritaville Beach Hotel Jacksonville Beach,FL,Saint Johns,romantic-getaways|outdoor-adventure|family-friendly|natural-wonder|food-wine|city-escapes,6,romantic-getaways,indulgence,,,,,
21568226264473300,embassy-suites-by-hilton-panama-city-beach-resort-bay,Embassy Suites by Hilton Panama City Beach Resort,FL,Bay,romantic-getaways|outdoor-adventure|family-friendly|pet-friendly|city-escapes|food-wine,6,romantic-getaways,indulgence,,,,,
21568226264541692,fontainebleau-miami-beach-miami-dade,Fontainebleau Miami Beach,FL,Miami-Dade,outdoor-adventure|food-wine|city-escapes|romantic-getaways|family-friendly|natural-wonder,6,outdoor-adventure,outdoors,,,,,
21568226264777971,reefhouse-resort-marina-monroe,Reefhouse Resort & Marina,FL,Monroe,city-escapes|national-park|natural-wonder|family-friendly|outdoor-adventure|food-wine|romantic-getaways,7,city-escapes,urban,,,,,
21568226265764775,arnold-palmer-s-bay-hill-club-lodge-orange,Arnold Palmer's Bay Hill Club & Lodge,FL,Orange,city-escapes|outdoor-adventure|food-wine|business-travel|natural-wonder,5,city-escapes,urban,,,,,
21568226266301002,conrad-fort-lauderdale-beach-broward,Conrad Fort Lauderdale Beach,FL,Broward,natural-wonder|city-escapes|romantic-getaways|family-friendly|outdoor-adventure|business-travel|food-wine,7,natural-wonder,outdoors,,,,,
21568226266609497,holiday-inn-resort-fort-walton-beach-by-ihg-okaloosa,Holiday Inn Resort Fort Walton Beach by IHG,FL,Okaloosa,outdoor-adventure|food-wine|family-friendly|romantic-getaways|natural-wonder|city-escapes,6,outdoor-adventure,outdoors,,,,,
21568226266915317,holiday-inn-club-vacations-at-orange-lake-resort-orange,Holiday Inn Club Vacations at Orange Lake Resort,FL,Orange,natural-wonder|outdoor-adventure|city-escapes|family-friendly,4,natural-wonder,outdoors,,,,,
21568226267741220,anna-maria-beach-resort-manatee,Anna Maria Beach Resort,FL,Manatee,,0,unclassified,none,,,,,
21568226268858169,the-pelican-key-largo-cottages-suites-monroe,The Pelican Key Largo Cottages & Suites,FL,Monroe,,0,unclassified,none,,,,,
21568226269152044,bungalows-key-largo-monroe,Bungalows Key Largo,FL,Monroe,,0,unclassified,none,,,,,
21568226269392585,manasota-key-resort-sarasota,Manasota Key Resort,FL,Sarasota,,0,unclassified,none,,,,,
21568226269711196,compass-hotel-anna-maria-sound-manatee,COMPASS HOTEL Anna Maria Sound,FL,Manatee,outdoor-adventure|food-wine|pet-friendly|romantic-getaways|family-friendly,5,outdoor-adventure,outdoors,,,,,
21568226270204780,b-ocean-resort-fort-lauderdale-beach-broward,B Ocean Resort Fort Lauderdale Beach,FL,Broward,city-escapes|natural-wonder|romantic-getaways|food-wine|family-friendly|outdoor-adventure,6,city-escapes,urban,,,,,
21568226270211243,icon-brickell-the-w-hotel-residence-miami-dade,Icon brickell The W hotel residence,FL,Miami-Dade,outdoor-adventure|romantic-getaways|city-escapes|business-travel|natural-wonder|food-wine,6,outdoor-adventure,outdoors,,,,,
21568226270900898,citizenm-miami-brickell-hotel-miami-dade,Citizenm Miami Brickell Hotel,FL,Miami-Dade,city-escapes|food-wine|romantic-getaways,3,city-escapes,urban,,,,,
21568226271534438,the-tides-on-hollywood-beach-broward,The Tides on Hollywood Beach,FL,Broward,family-friendly|outdoor-adventure,2,family-friendly,family,,,,,
21568226271919666,hilton-garden-inn-st-pete-beach-pinellas,Hilton Garden Inn St. Pete Beach,FL,Pinellas,city-escapes,1,city-escapes,urban,,,,,
21568226273135044,rodeway-inn-south-miami-coral-gables-miami-dade,Rodeway Inn South Miami - Coral Gables,FL,Miami-Dade,,0,unclassified,none,,,,,
21568226273169482,orlando-world-center-marriott-orange,Orlando World Center Marriott,FL,Orange,outdoor-adventure|family-friendly|food-wine|city-escapes|business-travel|romantic-getaways,6,outdoor-adventure,outdoors,,,,,
21568226273291885,caribe-cove-resort-in-kissimmee-by-vacasa-osceola,Caribe Cove Resort in Kissimmee by Vacasa,FL,Osceola,,0,unclassified,none,,,,,
21568226273400283,abae-hotel-by-eskape-collection-miami-dade,ABAE HOTEL by Eskape Collection,FL,Miami-Dade,,0,unclassified,none,,,,,
21568226273800122,kompose-hotel-sarasota-sarasota,Kompose Hotel Sarasota,FL,Sarasota,romantic-getaways|outdoor-adventure|business-travel|city-escapes|food-wine,5,romantic-getaways,indulgence,,,,,
21568226273999444,southbank-hotel-jacksonville-riverwalk-saint-johns,Southbank Hotel Jacksonville Riverwalk,FL,Saint Johns,food-wine|outdoor-adventure|city-escapes,3,food-wine,indulgence,,,,,
21568226274223708,holiday-inn-resort-pensacola-beach-gulf-front-by-ihg-santa-rosa,Holiday Inn Resort Pensacola Beach Gulf Front by IHG,FL,Santa Rosa,outdoor-adventure|natural-wonder|food-wine|city-escapes|romantic-getaways|family-friendly,6,outdoor-adventure,outdoors,,,,,
21568226274290704,sentral-wynwood-furnished-apartments-miami-miami-dade,Sentral Wynwood | Furnished Apartments Miami,FL,Miami-Dade,,0,unclassified,none,,,,,
21568226274307745,splash-resort-panama-city-beach-vacation-rentals-bay,Splash Resort - Panama City Beach Vacation Rentals,FL,Bay,national-park|outdoor-adventure|food-wine|natural-wonder|family-friendly|city-escapes,6,national-park,outdoors,,,,,
21568226274951559,hyatt-place-panama-city-beach-beachfront-bay,Hyatt Place Panama City Beach / Beachfront,FL,Bay,family-friendly|romantic-getaways|city-escapes|pet-friendly|outdoor-adventure|natural-wonder,6,family-friendly,family,,,,,
21568226275025610,citizenm-miami-world-center-miami-dade,citizenM Miami World Center,FL,Miami-Dade,food-wine|city-escapes|business-travel|romantic-getaways,4,food-wine,indulgence,,,,,
21568226288813165,conrad-orlando-at-evermore-orange,Conrad Orlando at Evermore,FL,Orange,business-travel|city-escapes|outdoor-adventure|food-wine|natural-wonder|family-friendly,6,business-travel,urban,,,,,
21568226289700621,hilton-vacation-club-mystic-dunes-orlando-osceola,Hilton Vacation Club Mystic Dunes Orlando,FL,Osceola,natural-wonder|city-escapes|outdoor-adventure|family-friendly,4,natural-wonder,outdoors,,,,,
21568226290235047,hilton-orlando-orange,Hilton Orlando,FL,Orange,family-friendly|romantic-getaways,2,family-friendly,family,,,,,
21568226309909639,hilton-orlando-buena-vista-palace-disney-springs-area-orange,Hilton Orlando Buena Vista Palace - Disney Springs Area,FL,Orange,family-friendly,1,family-friendly,family,,,,,
21568226327822040,the-palms-hotel-spa-miami-beach-miami-dade,The Palms Hotel & Spa Miami Beach,FL,Miami-Dade,city-escapes|outdoor-adventure|food-wine|family-friendly|natural-wonder,5,city-escapes,urban,,,,,
21568226330047544,villatel-orlando-resort-orange,Villatel Orlando Resort,FL,Orange,outdoor-adventure|family-friendly,2,outdoor-adventure,outdoors,,,,,
21568226332251750,the-retreat-at-anna-maria-island-inn-manatee,The Retreat at Anna Maria Island Inn,FL,Manatee,romantic-getaways|outdoor-adventure|family-friendly|natural-wonder,4,romantic-getaways,indulgence,,,,,
21568226335953171,roami-at-habitat-brickell-miami-dade,Roami at Habitat Brickell,FL,Miami-Dade,,0,unclassified,none,,,,,
21568226349946783,fairfield-by-marriott-inn-suites-pensacola-beach-santa-rosa,Fairfield by Marriott Inn & Suites Pensacola Beach,FL,Santa Rosa,family-friendly|romantic-getaways|outdoor-adventure,3,family-friendly,family,,,,,
21568226354831503,mi-casa-hotel-orange,Mi Casa Hotel,FL,Orange,city-escapes|national-park,2,city-escapes,urban,,,,,
21568295359345460,pelican-beach-resort-destin-okaloosa,Pelican Beach Resort Destin,FL,Okaloosa,natural-wonder|family-friendly|outdoor-adventure,3,natural-wonder,outdoors,,,,,
21568295363794822,bungalow-beach-resort-manatee,Bungalow Beach Resort,FL,Manatee,,0,unclassified,none,,,,,
21568295367243549,westgate-vacation-villas-resort-osceola,Westgate Vacation Villas Resort,FL,Osceola,natural-wonder|city-escapes|family-friendly|outdoor-adventure,4,natural-wonder,outdoors,,,,,
21568295367617949,the-diplomat-beach-resort-hollywood-curio-collection-by-hilton-broward,"The Diplomat Beach Resort Hollywood, Curio Collection by Hilton",FL,Broward,outdoor-adventure|family-friendly|romantic-getaways|business-travel|city-escapes|food-wine|natural-wonder,7,outdoor-adventure,outdoors,,,,,
21568295368545083,wicker-guesthouse-monroe,WICKER GUESTHOUSE,FL,Monroe,,0,unclassified,none,,,,,
21568295375582275,bahia-mar-fort-lauderdale-beach-a-doubletree-by-hilton-hotel-broward,Bahia Mar Fort Lauderdale Beach - A DoubleTree by Hilton Hotel,FL,Broward,romantic-getaways|natural-wonder|business-travel|city-escapes|family-friendly|outdoor-adventure,6,romantic-getaways,indulgence,,,,,
21568295413241702,brickell-arch-a-luxury-collection-hotel-miami-miami-dade,"Brickell Arch, a Luxury Collection Hotel, Miami",FL,Miami-Dade,business-travel|food-wine|romantic-getaways,3,business-travel,urban,,,,,
22535796482774061,holiday-inn-hotel-port-of-miami-downtown-by-ihg-miami-dade,Holiday Inn Hotel Port of Miami-Downtown by IHG,FL,Miami-Dade,,0,unclassified,none,,,,,
22535796482774063,kimpton-epic-hotel-miami-dade,Kimpton EPIC Hotel,FL,Miami-Dade,food-wine,1,food-wine,indulgence,,,,,
22535796483203746,sirata-beach-resort-st-pete-beach-pinellas,Sirata Beach Resort St Pete Beach,FL,Pinellas,food-wine|natural-wonder|city-escapes|family-friendly|outdoor-adventure,5,food-wine,indulgence,,,,,
22535796484886365,gaylord-palms-resort-convention-center-osceola,Gaylord Palms Resort & Convention Center,FL,Osceola,business-travel|family-friendly|outdoor-adventure,3,business-travel,urban,,,,,
22535796485376793,the-point-hotel-suites-orange,The Point Hotel & Suites,FL,Orange,romantic-getaways|family-friendly|business-travel|city-escapes,4,romantic-getaways,indulgence,,,,,
